# Gold-set points digitized directly from 2309.16600
# coupling_type=AxionNeutron source=figure
# mass_eV    coupling
2.000000e-14  5.000000e-10
2.100000e-14  3.500000e-10
2.200000e-14  4.500000e-10
2.350000e-14  6.000000e-10
2.500000e-14  5.500000e-10
2.700000e-14  7.000000e-10
2.850000e-14  5.800000e-10
3.000000e-14  8.500000e-10
3.200000e-14  1.000000e-09
3.400000e-14  8.000000e-10
3.600000e-14  1.100000e-09
3.800000e-14  1.000000e-09
4.000000e-14  1.200000e-09
4.200000e-14  1.400000e-09
4.400000e-14  1.000000e-09
4.600000e-14  1.800000e-09
4.800000e-14  1.300000e-09
5.000000e-14  2.000000e-09
5.200000e-14  1.500000e-09
5.400000e-14  2.200000e-09
5.600000e-14  1.800000e-09
5.800000e-14  2.500000e-09
6.000000e-14  2.000000e-09
6.200000e-14  2.800000e-09
6.400000e-14  3.200000e-09
