# Gold-set points digitized directly from 1905.13650
# coupling_type=AxionNeutron source=figure
# mass_eV    coupling
1.000000e-22  7.900000e-04
1.600000e-22  5.000000e-04
2.500000e-22  3.200000e-04
4.000000e-22  2.000000e-04
6.300000e-22  1.300000e-04
1.000000e-21  1.000000e-04
1.600000e-21  7.900000e-05
2.500000e-21  6.300000e-05
4.000000e-21  5.000000e-05
6.300000e-21  4.000000e-05
1.000000e-20  3.200000e-05
1.600000e-20  2.500000e-05
2.500000e-20  2.000000e-05
4.000000e-20  1.600000e-05
6.300000e-20  1.300000e-05
1.000000e-19  1.000000e-05
1.600000e-19  8.000000e-06
2.500000e-19  6.300000e-06
4.000000e-19  5.000000e-06
6.300000e-19  4.500000e-06
1.000000e-18  4.000000e-06
1.600000e-18  3.500000e-06
2.500000e-18  3.200000e-06
4.000000e-18  3.000000e-06
6.300000e-18  2.800000e-06
1.000000e-17  2.500000e-06
1.600000e-17  2.200000e-06
2.500000e-17  2.000000e-06
4.000000e-17  1.800000e-06
6.300000e-17  1.600000e-06
1.000000e-16  1.600000e-06
1.600000e-16  1.600000e-06
2.500000e-16  1.600000e-06
4.000000e-16  1.600000e-06
6.300000e-16  1.600000e-06
1.000000e-15  1.600000e-06
