# Gold-set points digitized directly from 2205.03617
# coupling_type=VectorBL source=figure
# mass_eV    coupling
1.000000e-20  2.500000e-11
3.000000e-20  2.500000e-11
1.000000e-19  2.500000e-11
3.000000e-19  2.500000e-11
1.000000e-18  2.500000e-11
3.000000e-18  2.500000e-11
1.000000e-17  2.500000e-11
3.000000e-17  2.500000e-11
1.000000e-16  2.500000e-11
3.000000e-16  2.800000e-11
1.000000e-15  3.500000e-11
3.000000e-15  5.000000e-11
1.000000e-14  8.000000e-11
3.000000e-14  1.400000e-10
1.000000e-13  2.500000e-10
3.000000e-13  4.500000e-10
1.000000e-12  8.000000e-10
3.000000e-12  1.400000e-09
1.000000e-11  2.500000e-09
3.000000e-11  4.500000e-09
1.000000e-10  8.000000e-09
3.000000e-10  1.400000e-08
1.000000e-09  2.500000e-08
3.000000e-09  4.500000e-08
1.000000e-08  8.000000e-08
3.000000e-08  1.400000e-07
1.000000e-07  2.500000e-07
3.000000e-07  4.500000e-07
1.000000e-06  8.000000e-07
3.000000e-06  1.400000e-06
1.000000e-05  2.500000e-06
3.000000e-05  4.500000e-06
1.000000e-04  8.000000e-06
3.000000e-04  1.400000e-05
1.000000e-03  2.500000e-05
3.000000e-03  4.500000e-05
1.000000e-02  8.000000e-05
