# Gold-set points digitized directly from 2312.13723
# coupling_type=ScalarElectron source=figure
# mass_eV    coupling
1.000000e-20  1.580000e+00
3.160000e-20  1.580000e+00
1.000000e-19  1.700000e+00
2.000000e-19  1.850000e+00
3.160000e-19  2.050000e+00
5.000000e-19  2.150000e+00
1.000000e-18  2.250000e+00
2.000000e-18  2.300000e+00
3.160000e-18  2.350000e+00
5.000000e-18  2.400000e+00
1.000000e-17  2.500000e+00
2.000000e-17  2.650000e+00
3.160000e-17  2.800000e+00
5.000000e-17  3.000000e+00
1.000000e-16  3.300000e+00
2.000000e-16  3.600000e+00
3.160000e-16  3.850000e+00
5.000000e-16  4.100000e+00
1.000000e-15  4.500000e+00
2.000000e-15  4.850000e+00
3.160000e-15  5.100000e+00
5.000000e-15  5.350000e+00
1.000000e-14  5.750000e+00
