# Gold-set points digitized directly from 1508.01798
# coupling_type=ScalarElectron source=figure
# mass_eV    coupling
1.000000e-22  1.050000e-02
3.160000e-22  1.050000e-02
1.000000e-21  1.050000e-02
3.160000e-21  1.050000e-02
1.000000e-20  1.050000e-02
3.160000e-20  1.050000e-02
1.000000e-19  1.050000e-02
3.160000e-19  1.050000e-02
1.000000e-18  1.050000e-02
3.160000e-18  1.050000e-02
1.000000e-17  1.050000e-02
3.160000e-17  1.050000e-02
1.000000e-16  1.050000e-02
3.160000e-16  1.050000e-02
1.000000e-15  1.050000e-02
3.160000e-15  1.050000e-02
1.000000e-14  1.050000e-02
3.160000e-14  1.120000e-02
1.000000e-13  1.260000e-02
3.160000e-13  1.580000e-02
1.000000e-12  2.500000e-02
3.160000e-12  5.000000e-02
1.000000e-11  1.000000e-01
3.160000e-11  2.000000e-01
1.000000e-10  4.000000e-01
3.160000e-10  7.900000e-01
1.000000e-09  1.580000e+00
3.160000e-09  3.160000e+00
1.000000e-08  6.300000e+00
